"CollectionName","Identifier","ImageUniqueID","ImageDescription","Photographer","Contributor","DateTimeOriginal","DateTimeDigitized","LocationShownCountryName","LocationShownSublocation","GPSLongitude","GPSLongitudeRef","GPSLatitude","GPSLatitudeRef","WaterDepth","Copyright","Source","UserComment"
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db001","eb772ed6-ed59-4572-9ce9-cb85b9564412","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:39:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db002","1bb70d8a-72e4-42bc-8b00-c0ab9cdafdbb","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:41:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db005","7419d925-9364-4700-87cc-a06b3c9a2c73","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:47:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db006","5f90164e-422b-4a4e-b428-eff06b747d1d","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:49:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db007","9135d6dc-e3c7-4a6f-9ae8-acc83daea756","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:51:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db008","6cb7c59b-53d0-4c47-b5ee-1d00de6e7b9b","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:54:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db009","3cf564d6-b607-4af2-b718-6f84e0db5cd5","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:06:07 00:00:00","2013:06:10 12:56:00","Jamaica","Jamaica | Discovery Bay | The Bull",77.38917,"W",18.46917,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db010","4455f489-32e2-41a1-9581-2f8636490c95","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:07:07 00:00:00","2013:06:11 06:52:00","Jamaica","Jamaica | Discovery Bay | Eaton Hall",77.334,"W",18.467,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db011","e098cfc6-779d-4aff-81e1-d64c87d1ef63","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1966:07:07 00:00:00","2013:06:11 06:54:00","Jamaica","Jamaica | Discovery Bay | Eaton Hall",77.334,"W",18.467,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db012","447c345b-0cd8-4a75-9831-a42aefa5b300","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","","2013:06:11 07:06:00","Jamaica","Jamaica | Discovery Bay",77.41543,"W",18.468618,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s","Exact date unknown, likely between 1966 and 1968. Exact coordinates unknown. Discovery Bay Marine Lab used as point of reference."
